order_id,order_date,customer_id,customer_name,region,country,category,product,quantity,unit_price,discount,payment_method
100001,2025-01-07,C03118,Customer 3118,West,India,Sports,Running Shoes,1,84.19,0.061,Credit Card
100002,2025-10-20,C03253,Customer 3253,Central,India,Home & Kitchen,Coffee Maker,1,79.4,0.23,Credit Card
100003,2024-11-03,C00759,Customer 759,North,India,Sports,Tennis Racket,2,114.35,0.036,Debit Card
100004,2026-05-01,C01961,Customer 1961,South,India,Clothing,T-Shirt,1,26.16,0.128,Credit Card
100005,2026-06-08,C01171,Customer 1171,East,India,Electronics,Smartphone,1,665.42,0.0,UPI
100006,2025-04-21,C01037,Customer 1037,South,India,Books,Business Book,1,29.0,0.116,Credit Card
100007,2025-04-15,C01820,Customer 1820,East,India,Sports,Yoga Mat,3,28.1,0.137,Debit Card
100008,2026-02-28,C01460,Customer 1460,East,India,Sports,Yoga Mat,1,30.43,0.038,Credit Card
100009,2025-10-24,C03275,Customer 3275,West,India,Electronics,Smartphone,1,577.77,0.064,Debit Card
100010,2026-02-19,C00887,Customer 887,North,India,Home & Kitchen,Table Lamp,2,49.84,0.048,UPI
100011,2025-05-28,C02998,Customer 2998,South,India,Home & Kitchen,Vacuum Cleaner,1,219.32,0.127,Wallet
100012,2026-02-17,C00054,Customer 54,Central,India,Books,Data Science Book,5,37.51,0.115,UPI
100013,2025-12-17,C02336,Customer 2336,South,India,Clothing,Jacket,3,105.17,0.144,UPI
100014,2025-11-13,C00855,Customer 855,East,India,Sports,Dumbbells,1,63.47,0.091,Credit Card
100015,2026-01-04,C01410,Customer 1410,North,India,Home & Kitchen,Coffee Maker,1,88.94,0.015,UPI
100016,2024-12-06,C02555,Customer 2555,North,India,Electronics,Bluetooth Speaker,1,61.17,0.038,Debit Card
100017,2025-02-14,C01834,Customer 1834,South,India,Clothing,Jacket,3,99.49,0.025,UPI
100018,2026-07-21,C00204,Customer 204,South,India,Electronics,Smartphone,2,735.65,0.052,UPI
100019,2026-05-19,C01287,Customer 1287,West,India,Sports,Running Shoes,1,95.18,0.067,Net Banking
100020,2026-08-28,C02661,Customer 2661,East,India,Clothing,Jeans,2,64.42,0.074,Credit Card
100021,2025-11-06,C02439,Customer 2439,,India,Sports,Football,2,34.34,0.091,Wallet
100022,2026-06-23,C02313,Customer 2313,Central,India,Home & Kitchen,Air Fryer,1,125.52,0.0,Wallet
100023,2026-04-24,C00919,Customer 919,South,India,Books,Data Science Book,1,43.94,0.144,UPI
100024,2026-07-11,C02680,Customer 2680,North,India,Books,Self Help Book,2,19.23,0.115,Credit Card
100025,2025-09-29,C01257,Customer 1257,Central,India,Sports,Football,2,33.43,0.078,Debit Card
100026,2026-06-04,C01284,Customer 1284,South,India,Electronics,Smartphone,2,628.21,0.069,UPI
